Original Affiliation,Canonical Affiliation,Cluster ID
"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, CA, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, 93106, CA, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California, Santa Barbara, Santa Barbara, CA, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical Engineering, Univ. of California, Santa Barbara, Santa Barbara, CA 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, 93116, CA, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California Santa Barbara, Santa Barbara, 93106-9560, CA, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California, Santa Barbara. CA 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Electrical and Computer Engineering Department, University of California Santa Barbara, Santa Barbara, CA 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California, Santa Barbara, California 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California at Santa Barbara, Santa Barbara, CA, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, University of California, Santa Barbara, California, 93106, United States","Department of Electrical and Computer Engineering, University of California, Santa Barbara 93106, United States",17
"Department of Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI 48824, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Department of Electrical and Computer Engineering, Michigan State University, East Lansing, MI, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Department of Mechanical Engineering, Michigan State University, East Lansing, 48824, MI, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Department of Electrical and Computer Engineering, Michigan State University, East Lansing, 48824-1226, MI, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Department of Electrical Engineering, Michigan State University, East Lansing, MI 48824, United States","Electrical and Computer Engineering, Michigan State University, East Lansing, 48824, MI, United States",18
"Department of Electrical Engineering, University of Delaware, Newark, DE 19716, United States","Department of Chemical Engineering, University of Delaware, Newark, DE 19716, United States",19
"Department of Electrical and Computer Engineering, University of Delaware, Newark, DE, United States","Department of Chemical Engineering, University of Delaware, Newark, DE 19716, United States",19
"Department of Mechanical Engineering, University of Delaware, Newark, 19716, DE, United States","Department of Chemical Engineering, University of Delaware, Newark, DE 19716, United States",19
"Department of Chemical Engineering, University of Delaware, Newark, DE 19716, United States","Department of Chemical Engineering, University of Delaware, Newark, DE 19716, United States",19
"Department of Energy Science, Sungkyunkwan University, Suwon, 16419, South Korea","Department of Energy Science, Sungkyunkwan University, Suwon, 16419, South Korea",20
"Department of Materials Design and Innovation, University at Buffalo, The State University of New York, Buffalo, 14260, NY, United States","Department of Materials Design and Innovation, University at Buffalo, The State University of New York, Buffalo, 14260, NY, United States",21
"Department of Mechanical Engineering, The Pennsylvania State University, University Park, 16802, PA, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Chemical Engineering, Pennsylvania State University, University Park, 16802, PA, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Mechanical and Nuclear Engineering, Pennsylvania State University, University Park, 16802, PA, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Chemical Engineering, Pennsylvania State University, University Park, PA 16802, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Mechanical and Nuclear Engineering, Pennsylvania State University, University Park, PA 16802, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Energy and Mineral Engineering, Pennsylvania State University, University Park, 16802, PA, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Electrical Engineering, Penn State University, University Park, 16802, PA, United States","Department of Mechanical Engineering, Penn State University, University Park, 16802, PA, United States",22
"Department of Physics and Astronomy, University of Kansas, Lawrence, KS 66045, United States","Department of Physics and Astronomy, University of Kansas, Lawrence, KS 66045, United States",23
"Department of Physics and Astronomy, The University of Kansas, Lawrence, 66045, KS, United States","Department of Physics and Astronomy, University of Kansas, Lawrence, KS 66045, United States",23
"Department of Physics, Korea University, Seoul 136-701, South Korea","Department of Physics, Korea University, Seoul, South Korea",24
"Department of Physics, Korea University, Seoul, 136-701, South Korea","Department of Physics, Korea University, Seoul, South Korea",24
"Department of Physics, Korea University, Seoul, 02841, South Korea","Department of Physics, Korea University, Seoul, South Korea",24
"Department of Physics, Korea University, Seoul, South Korea","Department of Physics, Korea University, Seoul, South Korea",24
"Department of Physics, Korea University, Seoul 136-713, South Korea","Department of Physics, Korea University, Seoul, South Korea",24
"Department of Physics, Texas A and M University, College Station, TX 77843-4242, United States","Department of Physics, Texas A and M University, College Station, TX 77843, United States",25
"Department of Chemistry, Texas A and M University, College Station, TX 77843, United States","Department of Physics, Texas A and M University, College Station, TX 77843, United States",25
"Department of Physics, Texas A and M University, College Station, TX 77843, United States","Department of Physics, Texas A and M University, College Station, TX 77843, United States",25
"Department of Chemistry, Texas A and M University, College Station, TX 77842, United States","Department of Physics, Texas A and M University, College Station, TX 77843, United States",25
"Department of Physics, University of California at Berkeley, Berkeley, CA 94720, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Chemistry, University of California at Berkeley, Berkeley, CA 94720, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Physics, University of California Berkeley, Berkeley, 94720, CA, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Chemistry, University of California, Berkeley, Berkeley, CA 94720, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Physics, University of California at Berkeley, Berkeley, CA, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Physics, University of California, Berkeley, Berkeley, CA 94720, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Chemistry, University of California Berkeley, Berkeley, CA 94720, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of Chemistry, University of California at Berkeley, Berkeley, 94720, CA, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Department of EECS, University of California at Berkeley, Berkeley, CA 94720, United States","Department of Physics, University of California at Berkeley, Berkeley, CA, United States",26
"Division of Applied Sciences, Harvard University, Cambridge, MA 02138, United States","Division of Applied Sciences, Harvard University, Cambridge, MA 02138, United States",27
"Division of Engineering and Applied Sciences, Harvard University, Cambridge, MA 02138, United States","Division of Applied Sciences, Harvard University, Cambridge, MA 02138, United States",27
"Div. of Eng. and Applied Sciences, Harvard University, Cambridge, MA 02138, United States","Division of Applied Sciences, Harvard University, Cambridge, MA 02138, United States",27
"Ge Global Research, Niskayuna, 12309, NY, United States","GE Global Research, Niskayuna, NY, United States",28
"GE Global Research, Niskayuna, NY 12309, United States","GE Global Research, Niskayuna, NY, United States",28
"Ge Global Research Center, Niskayuna, 12309, NY, United States","GE Global Research, Niskayuna, NY, United States",28
"GE Global Research, Niskayuna, NY, United States","GE Global Research, Niskayuna, NY, United States",28
"Ge Research, Niskayuna, 12309, NY, United States","GE Global Research, Niskayuna, NY, United States",28
"IBM Systems and Technology Group, Hopewell Junction, NY 12533, United States","IBM Systems and Technology Group, Hopewell Junction, NY, United States",29
"IBM Systems and Technology Group, Hopewell Junction, NY, United States","IBM Systems and Technology Group, Hopewell Junction, NY, United States",29
"IBM Systems and Technology Group, Hopewell Junction, NY 12533, 2070 Route 52, United States","IBM Systems and Technology Group, Hopewell Junction, NY, United States",29
"IBM Systems and Technology, Hopewell Junction, NY 12533, United States","IBM Systems and Technology Group, Hopewell Junction, NY, United States",29
"Inst. for Microstructural Sciences, National Research Council, Ottawa, Ont. K1A 0R6, Canada","Institute for Microstructural Sciences, National Research Council, Ottawa K1A 0R6, Canada",30
"Institute for Microstructural Sciences, National Research Council, Ottawa, K1A 0R6, Canada","Institute for Microstructural Sciences, National Research Council, Ottawa K1A 0R6, Canada",30
"Institute for Microstructural Sciences, National Research Council, Ottawa, ON K1A 0R6, Canada","Institute for Microstructural Sciences, National Research Council, Ottawa K1A 0R6, Canada",30
"Inst. for Microstructural Sciences, National Research Council of Canada, Ottawa, Ont. K1A 0R6, Canada","Institute for Microstructural Sciences, National Research Council, Ottawa K1A 0R6, Canada",30
"Institute for Microstructural Sciences, National Research Council, Ottawa K1A 0R6, Canada","Institute for Microstructural Sciences, National Research Council, Ottawa K1A 0R6, Canada",30
"Laboratory of Molecular Imaging and Nanomedicine (LOMIN), National Institute of Biomedical Imaging and Bioengineering (NIBIB), National Institutes of Health (NIH), Bethesda, 20892, MD, United States","Laboratory of Molecular Imaging and Nanomedicine, National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Bethesda, 20892, MD, United States",31
"Laboratory of Molecular Imaging and Nanomedicine, National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Bethesda, 20892, MD, United States","Laboratory of Molecular Imaging and Nanomedicine, National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Bethesda, 20892, MD, United States",31
"Laboratory of Molecular Imaging and Nanomedicine, National Institute of Biomedical Imaging and Bioengineering (NIBIB), National Institutes of Health (NIH), Bethesda, 20892, MD, United States","Laboratory of Molecular Imaging and Nanomedicine, National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Bethesda, 20892, MD, United States",31
"Materials Physics and Applications Division, Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, 87545, NM, United States","Materials Physics and Applications Division, Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, NM 87545, United States",32
"Materials Physics and Applications Division, Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, NM 87545, United States","Materials Physics and Applications Division, Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, NM 87545, United States",32
"Materials Physics and Applications Division: Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, 87545, NM, United States","Materials Physics and Applications Division, Center for Integrated Nanotechnologies, Los Alamos National Laboratory, Los Alamos, NM 87545, United States",32
"Materials Science and Engineering, School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, 85287, AZ, United States","Materials Science and Engineering, School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, 85287, AZ, United States",33
"NASA Goddard Space Flight Center, Greenbelt, MD, United States","NASA Goddard Space Flight Cent, Greenbelt, MD, United States",34
"NASA/Goddard Space Flight Center, Greenbelt, MD 20771, United States","NASA Goddard Space Flight Cent, Greenbelt, MD, United States",34
"NASA Goddard Space Flight Cent, Greenbelt, MD, United States","NASA Goddard Space Flight Cent, Greenbelt, MD, United States",34
"Princeton Optronics, Mercerville, NJ 08619, 1 Electronics Drive, United States","Princeton Optronics, Mercerville, NJ 08619, 1 Electronics Drive, United States",35
"Princeton Optronics, Inc., Mercerville, NJ 08619, 1 Electronics Drive, United States","Princeton Optronics, Mercerville, NJ 08619, 1 Electronics Drive, United States",35
"Princeton University, Princeton, NJ 08544, United States","Princeton University, Princeton, NJ, United States",36
"Princeton University, Princeton, NJ, United States","Princeton University, Princeton, NJ, United States",36
"Princeton University, Princeton, 08544, NJ, United States","Princeton University, Princeton, NJ, United States",36
"Princeton University, Princeton, NJ 08540, United States","Princeton University, Princeton, NJ, United States",36
"School of Physics, Georgia Institute of Technology, Atlanta, GA 30332-0430, United States","School of Physics, Georgia Institute of Technology, Atlanta, GA, United States",37
"School of Physics, Georgia Institute of Technology, Atlanta, 30332, GA, United States","School of Physics, Georgia Institute of Technology, Atlanta, GA, United States",37
"School of Physics, Georgia Institute of Technology, Atlanta, 30332-0430, GA, United States","School of Physics, Georgia Institute of Technology, Atlanta, GA, United States",37
"School of Physics, Georgia Institute of Technology, Atlanta, GA, United States","School of Physics, Georgia Institute of Technology, Atlanta, GA, United States",37
"School of ECE, Georgia Institute of Technology, Atlanta, GA 30332, United States","School of Physics, Georgia Institute of Technology, Atlanta, GA, United States",37
"Stanford University, United States","Stanford University, United States",38
"Bell Communications Research, Red Bank, NJ 07701, United States","Bell Communications Research, Red Bank, NJ 07701, United States",39
"Bell Communications Research, Red Bank, NJ, 07701, United States","Bell Communications Research, Red Bank, NJ 07701, United States",39
"Bell Communications Research, Inc., Redbank, NJ 07701, United States","Bell Communications Research, Red Bank, NJ 07701, United States",39
"Bell Communications Research, Red Bank, NJ 07701-7020, United States","Bell Communications Research, Red Bank, NJ 07701, United States",39
"Cavendish Laboratory, University of Cambridge, Cambridge, United Kingdom","Cavendish Laboratory, University of Cambridge, Cambridge, United Kingdom",40
"Cavendish Laboratory, University of Cambridge, Cambridge, CB3 0HE, United Kingdom","Cavendish Laboratory, University of Cambridge, Cambridge, United Kingdom",40
"Cavendish Laboratory, University of Cambridge, Cambridge CB3 0HE, United Kingdom","Cavendish Laboratory, University of Cambridge, Cambridge, United Kingdom",40
"College of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, 12203, NY, United States","Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, NY, United States",41
"Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, 12203, NY, United States","Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, NY, United States",41
"Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, NY, United States","Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, NY, United States",41
"Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, 257 Fuller Rd., Albany, 12203, NY, United States","Colleges of Nanoscale Science and Engineering, SUNY Polytechnic Institute, Albany, NY, United States",41
"Cree, Inc., Durham, NC 27703, United States","Cree Inc., Durham, NC, United States",42
"Cree, Inc., Durham, NC, United States","Cree Inc., Durham, NC, United States",42
"Cree Inc., Durham, NC 27703, United States","Cree Inc., Durham, NC, United States",42
"Cree Inc., Durham, NC, United States","Cree Inc., Durham, NC, United States",42
"Cree Research, Inc., Durham, NC 27703, United States","Cree Inc., Durham, NC, United States",42
"Department of Chemistry, Purdue University, West Lafayette, IN 47907, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Physics, Purdue University, West Lafayette, IN, 47907, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Chemistry, Purdue University, West Lafayette, IN, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Physics, Purdue University, Lafayette, IN 47907, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Physics, Purdue University West Lafayette, IN 47907, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Physics, Purdue University, West Lafayette, IN 47907-1301, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Chemistry, Purdue University, West Lafayette, IN 47907, 560 Oval Drive, United States","Department of Physics, Purdue University, Lafayette, IN 47907, United States",43
"Department of Chemistry, Wayne State University, Detroit, MI 48202, United States","Department of ECE, Wayne State University, Detroit, MI 48202, United States",44
"Department of ECE, Wayne State University, Detroit, MI 48202, United States","Department of ECE, Wayne State University, Detroit, MI 48202, United States",44
"Department of Physics, Wayne State University, Detroit, MI 48201, United States","Department of ECE, Wayne State University, Detroit, MI 48202, United States",44
"Department of Materials Science and Engineering, Ohio State University, Columbus, 43210, OH, United States","Department of Materials Science and Engineering, The Ohio State University, Columbus, OH, United States",45
"Department of Materials Science and Engineering, Ohio State University, Columbus, OH 43210, United States","Department of Materials Science and Engineering, The Ohio State University, Columbus, OH, United States",45
"Department of Materials Science and Engineering, The Ohio State University, Columbus, OH, United States","Department of Materials Science and Engineering, The Ohio State University, Columbus, OH, United States",45
"Department of Materials Science and Engineering, Research Institute of Advanced Materials, Seoul National University, Seoul, 08826, South Korea","Department of Materials Science and Engineering, Research Institute of Advanced Materials, Seoul National University, Seoul, 08826, South Korea",46
"Department of Materials Science and Engineering, University of Washington, Seattle, 98195-2120, WA, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Materials Science and Engineering, University of Washington, Seattle, WA 98195-2120, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Material Science and Engineering, University of Washington, Seattle, WA 98195, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Materials and Engineering, University of Washington, Seattle, 98195-2120, WA, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Materials Science and Engineering, Box 352120, University of Washington, Seattle, WA 98195-2120, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Materials and Engineering, University of Washington, Seattle, WA 98195-2120, United States","Department of Materials Science and Engineering, University of Washington, Seattle, WA, United States",47
"Department of Materials Science and Engineering, University of Virginia, Charlottesville, VA 22904, United States","Department of Electrical Engineering, University of Virginia, Charlottesville, VA 22904, United States",48
"Department of Electrical Engineering, University of Virginia, Charlottesville, VA 22904, United States","Department of Electrical Engineering, University of Virginia, Charlottesville, VA 22904, United States",48
"Department of Materials Science and Engineering, University of Virginia, Charlottesville, VA, United States","Department of Electrical Engineering, University of Virginia, Charlottesville, VA 22904, United States",48
"Department of Mechanical Engineering and Materials Science, Rice University, Houston, TX 77005, United States","Department of Mechanical Engineering and Materials Science, Rice University, Houston, TX 77005, United States",49
"Department of Physics, Case Western Reserve University, Cleveland, 44106, OH, United States","Department of Physics, Case Western Reserve University, Cleveland, OH, United States",50
"Department of Physics, Case Western Reserve University, Cleveland, OH 44106-7079, United States","Department of Physics, Case Western Reserve University, Cleveland, OH, United States",50
"Department of Physics, Case Western Reserve University, 2076 Adelbert Road, Cleveland, 44106, OH, United States","Department of Physics, Case Western Reserve University, Cleveland, OH, United States",50
"Department of Chemistry, Case Western Reserve University, Cleveland, 44106, OH, United States","Department of Physics, Case Western Reserve University, Cleveland, OH, United States",50
"Department of Physics, Case Western Reserve University, Cleveland, 44106-7079, OH, United States","Department of Physics, Case Western Reserve University, Cleveland, OH, United States",50
"Department of Physics, Case Western Reserve University, Cleveland, OH, United States","Department of Physics, Case Western Reserve University, Cleveland, OH, United States",50
"Department of Physics, Cornell University, Ithaca, 14853, NY, United States","Department of Physics, Cornell University, Ithaca, NY 14853, United States",51
"Department of Applied Physics, Cornell University, Ithaca, NY 14853, United States","Department of Physics, Cornell University, Ithaca, NY 14853, United States",51
"Department of Physics, Cornell University, Ithaca, NY 14853, United States","Department of Physics, Cornell University, Ithaca, NY 14853, United States",51
"Department of Physics, Illinois Institute of Technology, Chicago, IL 60616, United States","Department of Physics, Illinois Institute of Technology, Chicago, IL 60616, United States",52
"Emcore Corporation, Somerset, NJ 08873, 145 Belmont Drive, United States","Emcore Corporation, Somerset, NJ 08873, 145 Belmont Drive, United States",53
"GlobalFoundries, 400 Stone Break Rd Extension, Malta, 12020, NY, United States","GlobalFoundries, 400 Stone Break Rd Ext., Malta, 12020, NY, United States",54
"GlobalFoundries, 400 Stone Break Rd Ext., Malta, 12020, NY, United States","GlobalFoundries, 400 Stone Break Rd Ext., Malta, 12020, NY, United States",54
"GlobalFoundries, 400 Stonebreak Road Extension, Malta, 12020, NY, United States","GlobalFoundries, 400 Stone Break Rd Ext., Malta, 12020, NY, United States",54
"Globalfoundries Inc, 400 Stonebreak Road Extension, Malta, 12020, NY, United States","GlobalFoundries, 400 Stone Break Rd Ext., Malta, 12020, NY, United States",54
"Globalfoundries Inc. 400 Stonebreak Road Extension, Malta, 12020, NY, United States","GlobalFoundries, 400 Stone Break Rd Ext., Malta, 12020, NY, United States",54
"HRL Laboratories LLC, Malibu, CA 90265, United States","HRL Laboratories LLC, Malibu, CA, United States",55
"HRL Laboratories, LLC, Malibu, CA, United States","HRL Laboratories LLC, Malibu, CA, United States",55
