ID,Sponsor Award Number,Account,Sponsor,sponsorNameNotAsLink(),Prime Sponsor,primeSponsorNotAsLink(),PI Last,PI First,Lead Financial Unit Code,Lead Financial Unit,leadFinancialUnitNotAsLink(),Short Title,AMT GCO,Obligated,Anticipated,Award Start Date,Obligated End Date,Award End Date (Anticipated),Teams,Status,Authorized Total,Awarded Total,Proposed Total
AWD00008118,PO PN397970,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[EAF8DDE308FCA5489A80134EEF060BE0]]'>GR30100</a> ,"Motorola, Inc.","Motorola, Inc.",,,Rollier,Dwayne,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE",YIELD IMPROVEMENT IN THE ZENER/RECTIFIER WAFER FAB,Jenkins,"$2,227","$2,227",3/1/1995,4/22/1995,4/22/1995,Team 2,Closed,"$2,227","$2,227","$2,227"
AWD00008485,95BJ153,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[9C9346CD0514A94C9B560E9A9B17427F]]'>GR27878</a> ,SRCCO Inc.,SRCCO Inc.,,,Hirleman,Edwin,B1315,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,LIGHT SCATTERING BY PARTICLES ON PATTERNED WAFERS,Coley-Bing,"$100,000","$100,000",9/1/1995,8/31/1996,8/31/1996,Team 1,Closed,"$100,000","$100,000","$100,000"
AWD00009134,96BJ441,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[5AF4706B473A5243ADBF188EE8061B02]]'>GR27708</a> ,SRCCO Inc.,SRCCO Inc.,,,Hirleman,Edwin,B1315,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,DETECTION OF SURFACE NANOPARTICLES:  WAFER INSPECTION BEYOND 0.1 UM GENERATION,Coley-Bing,"$125,000","$125,000",9/1/1996,10/31/1997,10/31/1997,Team 1,Closed,"$125,000","$125,000","$125,000"
AWD00009641,LETTER OF UNDERSTANDING,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[358CB75AFF54604DAD622F9C13389879]]'>GR00143</a> ,University of Arizona,University of Arizona,National Science Foundation (NSF),National Science Foundation (NSF),Beaudoin,Stephen,B1314,Chemical Engineering,Chemical Engineering,SPIN COATING OF PHOTORESIST ONTO  WAFERS PROGRAM,Coley-Bing,"$21,556","$21,556",8/1/1997,5/25/1998,5/25/1998,,Closed,"$21,556","$21,556","$21,556"
AWD00009750,98128C,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[0F4E18E2988E4F44B8B52E678E2C7A6E]]'>GR30025</a> ,"Motorola, Inc.","Motorola, Inc.",,,Fowler,John,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE",MODELING & ANALYSIS OF WAFER FABRICATION,Jenkins,"$17,000","$17,000",9/1/1997,5/15/1998,5/15/1998,Team 2,Closed,"$17,000","$17,000","$17,000"
AWD00009749,98141C,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[9E80F790643758458D0A5E77CF4876FC]]'>GR30034</a> ,Tefen,Tefen,,,Fowler,John,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE",MODELING AND ANALYSIS OF 300MM WAFER FABRICATION OPERATIONS,Jenkins,"$31,291","$31,291",9/1/1997,12/31/1998,12/31/1998,Team 2,Closed,"$31,291","$31,291","$31,291"
AWD00009775,SRA292897REV40MOD1,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[5508EC4D28B4C4479E14639F48945F45]]'>GR00500</a> ,"Motorola, Inc.","Motorola, Inc.",,,Beaudoin,Stephen,B1314,Chemical Engineering,Chemical Engineering,REMOVAL OF ETCH RESIDUES FROM WAFERS,Coley-Bing,"$22,875","$22,875",9/15/1997,8/31/1998,8/31/1998,,Closed,"$22,875","$22,875","$22,875"
AWD00009807,DMI9713750-002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[E24A9FAB3106814786ABCB4C2BA069E2]]'>GR29735</a> ,National Science Foundation (NSF),National Science Foundation (NSF),,,Fowler,John,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE","WAFER FAB OPERATIONS:  MODELING, ANALYSIS, & DESIGN",Jenkins,"$220,000","$220,000",10/1/1997,5/31/2001,5/31/2001,Team 2,Closed,"$220,000","$220,000","$220,000"
AWD00009806,97FJ492-002,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[AA4D0E54D9BF9440BB755D2817AC5F2A]]'>GR30029</a> ,SRCCO Inc.,SRCCO Inc.,,,Fowler,John,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE",WAFER FAB OPERATIONS:MODELING ANALYSIS & DESIGN,Jenkins,"$134,444","$134,444",10/1/1997,5/30/2001,5/30/2001,Team 2,Closed,"$134,444","$134,444","$134,444"
AWD00010609,990415C-001,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[E25951B29FC00046AFA3C681A126D50C]]'>GR00512</a> ,Speedfam,Speedfam,,,Beaudoin,Stephen,B1314,Chemical Engineering,Chemical Engineering,EVALUATION OF NON-UNIFORMITY DURING WAFER POLISHING,Coley-Bing,"$25,400","$25,400",12/7/1998,8/24/2000,8/24/2000,,Closed,"$25,400","$25,400","$25,400"
AWD00011048,PO 01T15597,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[42A64081C3D5D340A8A341AD59CDDB75]]'>GR27766</a> ,Hewlett Packard,Hewlett Packard,,,Diaz,Rodolfo,B1315,Mechanical and Aerospace Engineering,Mechanical and Aerospace Engineering,EVALUATION OF HAZE ON HEWLETT -PARCKARD WAFER,Coley-Bing,"$7,826","$7,826",7/13/1999,7/28/1999,7/28/1999,Team 1,Closed,"$7,826","$7,826","$7,826"
AWD00012074,2001NJ880,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[5FC8583DFF924644B41274B92AE08112]]'>GR30051</a> ,SRCCO Inc.,SRCCO Inc.,,,Fowler,John,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE",SCHEDULING OF SEMICONDUCTOR WAFER FABRICATION FACILITIES,Jenkins,"$813,000","$813,000",1/1/2001,3/31/2004,3/31/2004,Team 2,Closed,"$813,000","$813,000","$813,000"
AWD00012073,2001NJ878,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[6B52BF99D984E24EBF3D8327E6C37E38]]'>GR30047</a> ,SRCCO Inc.,SRCCO Inc.,,,Fowler,John,B1312,"Industrial, Systems and Operations Engineering; IAFSE","Industrial, Systems and Operations Engineering; IAFSE",NEW APPROACHES FOR SIMULATION OF WAFER FABRICATION,Jenkins,"$325,500","$325,500",1/1/2001,3/31/2004,3/31/2004,Team 2,Closed,"$325,500","$325,500","$325,500"
AWD00012567,LTR 08/30/01,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[F2A5989174048A4D9A1CFD813C5B53E3]]'>GR00550</a> ,SRC Engineering Research Center,SRC Engineering Research Center,,,Beaudoin,Stephen,B1314,Chemical Engineering,Chemical Engineering,PARTICLE ADHESION AND REMOVAL FROM WAFER SURFACES,Coley-Bing,"$40,000","$40,000",9/1/2001,8/31/2002,8/31/2004,,Closed,"$40,000","$40,000","$40,000"
AWD00012950,CK 642461,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[1C053DA1DF0AB047973B2297E70AF35D]]'>GR00183</a> ,University of Arizona,University of Arizona,NSF: Directorate for Engineering (ENG),NSF: Directorate for Engineering (ENG),Beaudoin,Stephen,B1314,Chemical Engineering,Chemical Engineering,REU: PARTICLE ADHESION AND REMOVAL FROM WAFERS,Coley-Bing,$500,$500,4/1/2002,3/31/2003,3/31/2003,,Closed,$500,$500,$500
AWD00017782,Y433509,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[ECED5720FFD7DB43A232D19C40EFA15F]]'>GR07737</a> ,University of Arizona,University of Arizona,SRCCO Inc.,SRCCO Inc.,Vermeire,Bert,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,"Low-Water and Low-Energy Rinsing and Drying of Patterned Wafers, Nano-Structures, and New Materials Surfaces",Stewart,"$184,000","$184,000",4/1/2006,12/31/2011,12/31/2011,Team 1,Closed,"$184,000","$184,000","$184,000"
AWD00017809,100073 MM,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[8D56C194DE588E45A8E6C42E537A22B1]]'>GR07738</a> ,Sematech,Sematech,,,Diaz,Rodolfo,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Patterned Wafer Theoretical Limits of Optical Inspection,Stewart,"$84,371","$84,371",8/15/2006,10/5/2007,10/5/2007,Team 1,Closed,"$84,371","$84,371","$84,371"
AWD00025734,NNX12AM07H,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[CA6790A0B79913429B2B70664D7FC224]]'>GR21350</a> ,NASA: Goddard Space Flight Center,NASA: Goddard Space Flight Center,,,Hervig,Richard,B1702,"CLAS-NS: Earth and Space Exploration, School of (SESE)","CLAS-NS: Earth and Space Exploration, School of (SESE)",Elemental Fluence Analysis in Genesis Collector Wafers by SIMS - Karen Rieck,Stewart,"$89,385","$89,385",9/1/2012,8/31/2015,8/31/2015,Team 1,Closed,"$89,385","$89,385","$89,385"
AWD00028245,AGMT 04/01/15,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[BC1154A44A1FC74C9645D374F552EE2F]]'>GR08490</a> ,SolarWorld Americas Inc.,SolarWorld Americas Inc.,DOE: Office of Energy Efficiency and Renewable Energy (EERE),DOE: Office of Energy Efficiency and Renewable Energy (EERE),Bertoni,Mariana,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,NeoGrowth Silicon: US Manufacturing of Solar Wafers,Stewart,"$194,484","$194,484",11/1/2014,6/30/2017,6/30/2017,Team 1,Closed,"$194,484","$194,484","$194,484"
AWD00030119,4500015166,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[E4EECC4C2331FE428C534ED7C2228B28]]'>GR08651</a> ,SolarWorld Americas Inc.,SolarWorld Americas Inc.,,,Bertoni,Mariana,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,NeoGrowth Silicon: US Manufacturing of Solar Wafers,Stewart,"$39,649","$39,649",3/31/2016,3/31/2017,3/31/2017,Team 1,Closed,"$39,649","$39,649","$39,649"
AWD00030167,1643344,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[F0EBF01BCCFE714780614B56A539D6F2]]'>GR08660</a> ,DOE: Sandia National Laboratories (SNL),DOE: Sandia National Laboratories (SNL),,,Johnson,Shane,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Graphene Detector Design Modeling and Fabrication Growth of Epitaxial Layers on Wafers Using Bismuth,Stewart,"$125,000","$125,000",5/20/2016,9/30/2017,9/30/2017,Team 1,Closed,"$125,000","$125,000","$125,000"
AWD00032194,PO 4504252103,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[ACF3005C76C0FA42952C0011B5461D3F]]'>GR28936</a> ,Versum Materials,Versum Materials,,,Perreault,Francois,B1306,IAFSE-SEBE: Civil and Environmental Engineering,IAFSE-SEBE: Civil and Environmental Engineering,Surface Characterization of W and TEOS Wafers,Taylor,"$5,397","$5,397",10/1/2017,9/30/2018,9/30/2018,Team 3,Expired,"$5,397","$5,397","$5,397"
AWD00035069,DE-EE0008973,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[917B3D9239B564449B73649A71B1E28C]]'>GR38296</a> ,DOE: Office of Energy Efficiency and Renewable Energy (EERE),DOE: Office of Energy Efficiency and Renewable Energy (EERE),,,Bertoni,Mariana,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Sonic Wafering of III-V substrates for High Efficiency Cells: A path to <$0.5/W,Stewart,"$2,119,530","$2,499,530",4/1/2020,9/30/2024,9/30/2024,Team 1,Expired,"$2,119,530","$2,119,530","$2,499,530"
AWD00036354,G09773-300,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[3FCDF97F1323EE408138C2ECF531A2EC]]'>GR40294</a> ,Arizona State University Foundation (ASUF),Arizona State University Foundation (ASUF),Breakthrough Initiatives,Breakthrough Initiatives,Zeinolabedinzadeh,Saeed,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Synchronous Wafer-Scale Massive Optical Arrays,Stewart,"$138,673","$138,673",5/1/2021,12/31/2022,12/31/2022,Team 1,Expired,"$138,673","$138,673","$138,673"
AWD00036821,DE-EE0009526,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[7137ED65643311EC4884D82396565000]]'>GR41194</a> ,NTACT,NTACT,DOE: Office of Energy Efficiency and Renewable Energy (EERE),DOE: Office of Energy Efficiency and Renewable Energy (EERE),Holman,Zachary,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,Manufacturing 27%-efficient perovskite/silicon tandem photovoltaic cells using slot die coating at >5000 wafers per hour,Stewart,"$730,821","$889,463",10/1/2021,7/26/2024,7/26/2024,Team 1,Expired,"$730,821","$730,821","$889,463"
AWD00037601,AGR 8/1/2022,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[E29373971CC211ED5484D82396565000]]'>GR42341</a> ,NuevoGen LLC,NuevoGen LLC,,,Tongay,Seth,B1343004,IAFSE-SEMTE: Materials Science and Engineering,IAFSE-SEMTE: Materials Science and Engineering,STC MADE: Wafer-scale manufacturing of electronically doped high-performance atomically thin semiconductors ,Mun,"$70,000","$70,000",8/1/2022,7/31/2024,7/31/2024,Team 2,Expired,"$70,000","$70,000","$70,000"
AWD00039021,AGR 9/28/2023,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[F2F16298669E11EE6C84D82396565000]]'>GR44842</a> ,"Advent Diamond, LLC","Advent Diamond, LLC",DOD-DARPA: Microsystems Technology Office (MTO),DOD-DARPA: Microsystems Technology Office (MTO),Nemanich,Robert,B1717,CLAS-NS: Physics,CLAS-NS: Physics,"Surface engineering of diamond seed crystals for large area, epi-ready diamond wafers",Taylor,"$35,000","$35,000",9/25/2023,6/12/2024,6/12/2024,Team 3,Expired,"$35,000","$35,000","$35,000"
AWD00040652,AGR 3/6/2025,<a href='https://era2.oked.asu.edu/Grants/sd/Rooms/DisplayPages/LayoutInitial?Container=com.webridge.entity.Entity[OID[44D3CC2CFDCE11EF8984D82396565000]]'>GR47629</a> ,Applied Materials,Applied Materials,,,Celano,Umberto,B1310,IAFSE-ECEE: Electrical Engineering,IAFSE-ECEE: Electrical Engineering,A back-contact free wafer-scale compatible scanning probe analysis method for defects characterization in 2D materials (“Project 1”),Stewart,"$565,411","$565,411",9/1/2024,8/31/2027,8/31/2027,Team 1,Active,"$565,411","$565,411","$565,411"
